cond,seed,n,notelike,silence,dmed,vendi
box_nu,1000,150,0.0,0.0,23.392712944115658,12.67511457517941
box_nu,2000,150,0.0,0.0,12.989226389297409,9.829502002320076
box_nu,3000,150,0.0,14.666666666666666,23.26247517153744,10.644898022348976
box_nu,4000,150,0.0,0.0,24.90191492849306,11.869517484728306
box_nu,5000,150,0.0,1.3333333333333335,24.08680228972571,8.287471358702621
box_nu,6000,150,13.333333333333334,0.0,12.870485423472088,11.573492440913911
box_nu,7000,150,0.6666666666666667,0.0,16.555104456750588,8.969636237418515
box_nu,8000,150,11.333333333333332,3.3333333333333335,7.7305754379714395,10.014605005610877
box_nu,9000,150,0.6666666666666667,0.0,31.156186074882505,10.71301631878173
box_nu,10000,150,0.0,34.66666666666667,15.233988750836552,6.313857336434421
box_goalbox,1000,150,51.33333333333333,0.0,4.940638009613483,13.304801862379975
box_goalbox,2000,150,6.666666666666667,1.3333333333333335,11.361048373703039,12.037101640147926
box_goalbox,3000,150,10.666666666666668,0.6666666666666667,22.01277636693591,14.089205866336911
box_goalbox,4000,150,10.666666666666668,2.0,14.825430070172253,16.30176276454815
box_goalbox,5000,150,16.666666666666664,9.333333333333334,9.786321356349067,14.92258639386265
box_goalbox,6000,150,59.333333333333336,0.0,5.207192486508815,9.395910137893457
box_goalbox,7000,150,6.0,6.666666666666667,18.843756355629726,12.404735104247981
box_goalbox,8000,150,22.0,2.666666666666667,10.34185473278546,16.252926739058836
box_goalbox,9000,150,4.0,0.6666666666666667,19.280263286300055,13.687820355760769
box_goalbox,10000,150,7.333333333333333,4.666666666666667,7.6785257795060735,9.881361020151646
box_parents,1000,150,7.333333333333333,14.000000000000002,14.224794712802613,16.033305639388235
box_parents,2000,150,15.333333333333332,14.000000000000002,9.981057432600673,15.693900186556053
box_parents,3000,150,58.666666666666664,2.666666666666667,5.038329478278408,13.897608845393636
box_parents,4000,150,61.33333333333333,4.666666666666667,4.271960429834172,10.972196089641313
box_parents,5000,150,11.333333333333332,16.666666666666664,10.907421877232949,15.341553267396657
box_parents,6000,150,14.000000000000002,12.0,9.034597734032392,14.920367598792334
box_parents,7000,150,9.333333333333334,10.666666666666668,14.143580772058177,17.018057107929124
box_parents,8000,150,12.666666666666668,14.000000000000002,12.098628823933732,15.278384624791254
box_parents,9000,150,94.66666666666667,1.3333333333333335,3.2090021901478543,13.899535027080253
box_parents,10000,150,19.333333333333332,10.0,9.049610853894709,14.99063936260979
box_both,1000,150,66.0,4.0,4.111060324147976,12.173835337789344
box_both,2000,150,42.0,8.0,6.058377675876683,13.222405417178688
box_both,3000,150,85.33333333333334,0.0,4.833887581449131,10.810141668441963
box_both,4000,150,21.333333333333336,4.0,8.526583771560384,15.157024512492823
box_both,5000,150,8.666666666666668,10.666666666666668,12.212119480330182,16.173383482181478
box_both,6000,150,94.66666666666667,0.0,3.2064851374404757,14.305323635400791
box_both,7000,150,36.666666666666664,6.0,6.173411642085094,13.459540865482623
box_both,8000,150,55.333333333333336,3.3333333333333335,5.172098853112992,11.046768448218987
box_both,9000,150,36.0,9.333333333333334,7.6043067347479285,13.039905170243882
box_both,10000,150,32.0,15.333333333333332,9.034597734032392,11.745066921602877
